session_test_id,age,headphones,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,dil_oracle,61,110527,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,buddy,55,110527,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,reference,100,110527,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,wpe,80,110527,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,observed,63,110527,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_803_2,dil_cr1,80,110527,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,hidden_ref,100,132651,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,observed,55,132651,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,dil_oracle,68,132651,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,buddy,65,132651,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,wpe,61,132651,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,reference,94,132651,
dil_libri_mushra_v3,60,yes,dbb83971-8165-4812-bb40-d6d842254e79,trial_403a_2,dil_cr1,61,132651,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,reference,100,190367,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,buddy,15,190367,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,dil_oracle,59,190367,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,dil_cr1,38,190367,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_1,wpe,60,190367,
